split,model,missingness,ADE,FDE,n,stop,go,turn_left,turn_right,action,action_accuracy,stop_precision,stop_recall,true_stop,pred_stop,plot
zara1,constant_velocity,complete,0.42722286838019846,0.9523768696193986,2356,33,1620,703,0,go,0.9100169779286927,0.3939393939393939,0.5652173913043478,23,33,/content/drive/MyDrive/cv_project/project/results/plots/zara1_constant_velocity_complete_navigation.png
zara1,constant_velocity,random_0.1,0.45758794250634005,0.9738653142302469,2356,32,1617,707,0,go,0.9100169779286927,0.375,0.5217391304347826,23,32,/content/drive/MyDrive/cv_project/project/results/plots/zara1_constant_velocity_random_0.1_navigation.png
zara1,constant_velocity,random_0.3,0.5461303190990701,1.0419389702670643,2356,30,1620,706,0,go,0.9057724957555179,0.36666666666666664,0.4782608695652174,23,30,/content/drive/MyDrive/cv_project/project/results/plots/zara1_constant_velocity_random_0.3_navigation.png
zara1,constant_velocity,random_0.5,0.7548207371465622,1.230636173173001,2356,25,1636,695,0,go,0.8994057724957555,0.44,0.4782608695652174,23,25,/content/drive/MyDrive/cv_project/project/results/plots/zara1_constant_velocity_random_0.5_navigation.png
zara1,constant_velocity,contiguous,0.42722286838019846,0.9523768696193986,2356,33,1620,703,0,go,0.9100169779286927,0.3939393939393939,0.5652173913043478,23,33,/content/drive/MyDrive/cv_project/project/results/plots/zara1_constant_velocity_contiguous_navigation.png
zara1,constant_velocity,partial,0.9775744504556186,1.3362232431491081,2356,14,1611,731,0,go,0.9011035653650254,0.5,0.30434782608695654,23,14,/content/drive/MyDrive/cv_project/project/results/plots/zara1_constant_velocity_partial_navigation.png
zara1,vanilla_lstm,complete,0.5636962949723663,1.0904014799712267,2356,29,1680,647,0,go,0.9138370118845501,0.3448275862068966,0.43478260869565216,23,29,/content/drive/MyDrive/cv_project/project/results/plots/zara1_vanilla_lstm_complete_navigation.png
zara1,vanilla_lstm,random_0.1,0.6487849618866407,1.20542580870902,2356,33,1680,643,0,go,0.9112903225806451,0.21212121212121213,0.30434782608695654,23,33,/content/drive/MyDrive/cv_project/project/results/plots/zara1_vanilla_lstm_random_0.1_navigation.png
zara1,vanilla_lstm,random_0.3,0.8975286397747758,1.5383208607574876,2356,35,1682,639,0,go,0.9032258064516129,0.17142857142857143,0.2608695652173913,23,35,
zara1,vanilla_lstm,random_0.5,1.247843741358642,2.0206312250807654,2356,40,1692,624,0,go,0.8943123938879457,0.175,0.30434782608695654,23,40,
zara1,vanilla_lstm,contiguous,0.5636962949723663,1.0904014799712267,2356,29,1680,647,0,go,0.9138370118845501,0.3448275862068966,0.43478260869565216,23,29,
zara1,vanilla_lstm,partial,2.1484753579559066,3.498553663036819,2356,0,1652,704,0,go,0.8972835314091681,0.0,0.0,23,0,
zara1,missing_lstm,complete,0.4165236732348521,0.9036189186148004,2356,15,1646,695,0,go,0.9235993208828522,0.6666666666666666,0.43478260869565216,23,15,
zara1,missing_lstm,random_0.1,0.42803113251064345,0.9176328867319686,2356,14,1648,694,0,go,0.9231748726655348,0.7142857142857143,0.43478260869565216,23,14,
zara1,missing_lstm,random_0.3,0.4645355606929151,0.9568150840914715,2356,17,1643,696,0,go,0.91723259762309,0.5882352941176471,0.43478260869565216,23,17,
zara1,missing_lstm,random_0.5,0.5820628101028287,1.0873671638540583,2356,17,1655,684,0,go,0.9100169779286927,0.5294117647058824,0.391304347826087,23,17,
zara1,missing_lstm,contiguous,0.4165236732348521,0.9036189186148004,2356,15,1646,695,0,go,0.9235993208828522,0.6666666666666666,0.43478260869565216,23,15,
zara1,missing_lstm,partial,0.5830675491048039,1.0881337422264048,2356,17,1623,715,1,go,0.9061969439728353,0.47058823529411764,0.34782608695652173,23,17,
zara1,missing_transformer,complete,0.4059938028935463,0.89523648669238,2356,17,1705,634,0,go,0.9223259762308998,0.7058823529411765,0.5217391304347826,23,17,
zara1,missing_transformer,random_0.1,0.4148495261049837,0.9044934896742751,2356,18,1703,635,0,go,0.9219015280135824,0.6666666666666666,0.5217391304347826,23,18,
zara1,missing_transformer,random_0.3,0.44929217239794383,0.943685743015367,2356,19,1695,642,0,go,0.916383701188455,0.5263157894736842,0.43478260869565216,23,19,
zara1,missing_transformer,random_0.5,0.5377762182560356,1.054843869395491,2356,22,1685,647,2,go,0.9125636672325976,0.5454545454545454,0.5217391304347826,23,22,
zara1,missing_transformer,contiguous,0.4059938028935463,0.89523648669238,2356,17,1705,634,0,go,0.9223259762308998,0.7058823529411765,0.5217391304347826,23,17,
zara1,missing_transformer,partial,0.5614530991617407,1.075528817893289,2356,17,1704,634,1,go,0.9083191850594228,0.47058823529411764,0.34782608695652173,23,17,
zara2,constant_velocity,complete,0.32393697145223216,0.7244143806637443,5910,36,5542,330,2,go,0.9632825719120135,0.4444444444444444,0.5,32,36,
zara2,constant_velocity,random_0.1,0.33935462375330644,0.7361371878742566,5910,37,5540,331,2,go,0.9626057529610829,0.43243243243243246,0.5,32,37,
zara2,constant_velocity,random_0.3,0.38485907167700545,0.7691000743061556,5910,38,5540,331,1,go,0.9626057529610829,0.39473684210526316,0.46875,32,38,
zara2,constant_velocity,random_0.5,0.5032551785612671,0.8762770775308464,5910,37,5557,314,2,go,0.9609137055837563,0.3783783783783784,0.4375,32,37,
zara2,constant_velocity,contiguous,0.32393697145223216,0.7244143806637443,5910,36,5542,330,2,go,0.9632825719120135,0.4444444444444444,0.5,32,36,
zara2,constant_velocity,partial,0.6138450286513456,0.9191263511650857,5910,31,5546,331,2,go,0.9578680203045685,0.45161290322580644,0.4375,32,31,
zara2,vanilla_lstm,complete,0.5437388734466534,0.9886857266958595,5910,11,5025,874,0,go,0.8763113367174281,0.6363636363636364,0.21875,32,11,
zara2,vanilla_lstm,random_0.1,0.5780831947141089,1.0287539238655425,5910,11,5027,872,0,go,0.8763113367174281,0.6363636363636364,0.21875,32,11,
zara2,vanilla_lstm,random_0.3,0.6964197057152762,1.1806218528908925,5910,12,5031,867,0,go,0.8754653130287648,0.75,0.28125,32,12,
zara2,vanilla_lstm,random_0.5,0.8539255215633541,1.3781598021738017,5910,17,5049,844,0,go,0.8749576988155668,0.29411764705882354,0.15625,32,17,
